date,time,symbol,orig,bid,ask,bid_size,ask_size
2020-11-17,08:00:00.103,EUR/USD,Provider1,1.18348,1.18371,1000000,1000000
2020-11-17,08:00:00.144,EUR/USD,Provider3,1.18347,1.18372,500000,500000
2020-11-17,08:00:00.147,EUR/USD,Provider1,1.18347,1.1837,1000000,1000000
2020-11-17,08:00:00.152,EUR/USD,Provider3,1.18345,1.18373,500000,500000
2020-11-17,08:00:00.163,EUR/USD,Provider3,1.18346,1.18372,500000,500000
2020-11-17,08:00:00.174,EUR/USD,Provider1,1.18348,1.1837,1000000,1000000
2020-11-17,08:00:00.186,EUR/USD,Provider1,1.18348,1.18371,1000000,1000000
2020-11-17,08:00:00.196,EUR/USD,Provider3,1.18347,1.18372,500000,500000
2020-11-17,08:00:00.197,EUR/USD,Provider1,1.18348,1.18372,1000000,1000000
2020-11-17,08:00:00.199,EUR/USD,Provider1,1.18349,1.18372,1000000,1000000
2020-11-17,08:00:00.203,EUR/USD,Provider2,1.18343,1.18371,1000000,1000000
2020-11-17,08:00:00.220,EUR/USD,Provider4,1.18344,1.18375,1000000,1000000
2020-11-17,08:00:00.221,EUR/USD,Provider3,1.18348,1.18373,500000,500000
2020-11-17,08:00:00.223,EUR/USD,Provider1,1.18348,1.18372,1000000,1000000
2020-11-17,08:00:00.227,EUR/USD,Provider1,1.18348,1.18371,1000000,1000000
2020-11-17,08:00:00.234,EUR/USD,Provider1,1.18348,1.18372,1000000,1000000
2020-11-17,08:00:00.240,EUR/USD,Provider1,1.18349,1.18372,1000000,1000000
2020-11-17,08:00:00.247,EUR/USD,Provider1,1.18349,1.18373,1000000,1000000
2020-11-17,08:00:00.250,EUR/USD,Provider1,1.1835,1.18374,1000000,1000000
2020-11-17,08:00:00.252,EUR/USD,Provider1,1.1835,1.18373,1000000,1000000
2020-11-17,08:00:00.258,EUR/USD,Provider2,1.18345,1.18372,1000000,1000000
2020-11-17,08:00:00.264,EUR/USD,Provider1,1.1835,1.18374,1000000,1000000
2020-11-17,08:00:00.269,EUR/USD,Provider3,1.18349,1.18375,500000,500000
2020-11-17,08:00:00.283,EUR/USD,Provider2,1.18345,1.18373,1000000,1000000
2020-11-17,08:00:00.283,EUR/USD,Provider3,1.18348,1.18377,500000,500000
2020-11-17,08:00:00.286,EUR/USD,Provider1,1.18351,1.18374,1000000,1000000
2020-11-17,08:00:00.303,EUR/USD,Provider3,1.18349,1.18376,500000,500000
2020-11-17,08:00:00.305,EUR/USD,Provider1,1.1835,1.18373,1000000,1000000
2020-11-17,08:00:00.310,EUR/USD,Provider1,1.1835,1.18375,1000000,1000000
2020-11-17,08:00:00.315,EUR/USD,Provider1,1.18349,1.18375,1000000,1000000
2020-11-17,08:00:00.322,EUR/USD,Provider3,1.18349,1.18375,500000,500000
2020-11-17,08:00:00.323,EUR/USD,Provider1,1.1835,1.18375,1000000,1000000
2020-11-17,08:00:00.325,EUR/USD,Provider1,1.18351,1.18375,1000000,1000000
2020-11-17,08:00:00.334,EUR/USD,Provider3,1.1835,1.18375,500000,500000
2020-11-17,08:00:00.344,EUR/USD,Provider3,1.18349,1.18375,500000,500000
2020-11-17,08:00:00.345,EUR/USD,Provider2,1.18346,1.18374,1000000,1000000
2020-11-17,08:00:00.349,EUR/USD,Provider1,1.18352,1.18375,1000000,1000000
2020-11-17,08:00:00.353,EUR/USD,Provider1,1.18351,1.18375,1000000,1000000
2020-11-17,08:00:00.366,EUR/USD,Provider3,1.1835,1.18376,500000,500000
2020-11-17,08:00:00.367,EUR/USD,Provider1,1.18351,1.18374,1000000,1000000
2020-11-17,08:00:00.375,EUR/USD,Provider4,1.18345,1.18376,1000000,1000000
2020-11-17,08:00:00.392,EUR/USD,Provider1,1.1835,1.18373,1000000,1000000
2020-11-17,08:00:00.392,EUR/USD,Provider3,1.1835,1.18375,500000,500000
2020-11-17,08:00:00.395,EUR/USD,Provider1,1.18351,1.18373,1000000,1000000
2020-11-17,08:00:00.400,EUR/USD,Provider1,1.18351,1.18375,1000000,1000000
2020-11-17,08:00:00.411,EUR/USD,Provider1,1.18352,1.18375,1000000,1000000
2020-11-17,08:00:00.415,EUR/USD,Provider3,1.18351,1.18376,500000,500000
